learning_rate,batch_size,weight_decay,macro_f1
0.0003,16,1e-06,0.5841

Epoch [01/50] | Train Acc: 0.1898 | Val Acc: 0.2098
Epoch [02/50] | Train Acc: 0.2397 | Val Acc: 0.2351
Epoch [03/50] | Train Acc: 0.2801 | Val Acc: 0.2622
Epoch [04/50] | Train Acc: 0.2988 | Val Acc: 0.2658
Epoch [05/50] | Train Acc: 0.3342 | Val Acc: 0.3454
Epoch [06/50] | Train Acc: 0.3632 | Val Acc: 0.3526
Epoch [07/50] | Train Acc: 0.3624 | Val Acc: 0.3562
Epoch [08/50] | Train Acc: 0.3853 | Val Acc: 0.4123
Epoch [09/50] | Train Acc: 0.4139 | Val Acc: 0.3797
Epoch [10/50] | Train Acc: 0.4204 | Val Acc: 0.4304
Epoch [11/50] | Train Acc: 0.4455 | Val Acc: 0.4304
Epoch [12/50] | Train Acc: 0.4661 | Val Acc: 0.4774
Epoch [13/50] | Train Acc: 0.4825 | Val Acc: 0.4412
Epoch [14/50] | Train Acc: 0.4973 | Val Acc: 0.4738
Epoch [15/50] | Train Acc: 0.5053 | Val Acc: 0.4503
Epoch [16/50] | Train Acc: 0.5183 | Val Acc: 0.4665
Epoch [17/50] | Train Acc: 0.5431 | Val Acc: 0.4557
Epoch [18/50] | Train Acc: 0.5579 | Val Acc: 0.5371
Epoch [19/50] | Train Acc: 0.5716 | Val Acc: 0.4593
Epoch [20/50] | Train Acc: 0.5751 | Val Acc: 0.5280
Epoch [21/50] | Train Acc: 0.5713 | Val Acc: 0.5154
Epoch [22/50] | Train Acc: 0.6029 | Val Acc: 0.4901
Epoch [23/50] | Train Acc: 0.6128 | Val Acc: 0.5118
Epoch [24/50] | Train Acc: 0.6155 | Val Acc: 0.5208
Epoch [25/50] | Train Acc: 0.6376 | Val Acc: 0.5570
Epoch [26/50] | Train Acc: 0.6479 | Val Acc: 0.5967
Epoch [27/50] | Train Acc: 0.6406 | Val Acc: 0.4864
Epoch [28/50] | Train Acc: 0.6475 | Val Acc: 0.5533
Epoch [29/50] | Train Acc: 0.6753 | Val Acc: 0.4919
Epoch [30/50] | Train Acc: 0.6845 | Val Acc: 0.6130
Epoch [31/50] | Train Acc: 0.7031 | Val Acc: 0.5895
Epoch [32/50] | Train Acc: 0.6936 | Val Acc: 0.5841
Epoch [33/50] | Train Acc: 0.7115 | Val Acc: 0.5552
Epoch [34/50] | Train Acc: 0.7104 | Val Acc: 0.6112
Epoch [35/50] | Train Acc: 0.7405 | Val Acc: 0.5787
Epoch [36/50] | Train Acc: 0.7492 | Val Acc: 0.6329
Epoch [37/50] | Train Acc: 0.7489 | Val Acc: 0.5769
Epoch [38/50] | Train Acc: 0.7508 | Val Acc: 0.5986
Epoch [39/50] | Train Acc: 0.7652 | Val Acc: 0.5696
Epoch [40/50] | Train Acc: 0.7809 | Val Acc: 0.6022
Epoch [41/50] | Train Acc: 0.7866 | Val Acc: 0.5877
Epoch [42/50] | Train Acc: 0.7896 | Val Acc: 0.5316
Epoch [43/50] | Train Acc: 0.7973 | Val Acc: 0.6365
Epoch [44/50] | Train Acc: 0.8030 | Val Acc: 0.5823
Epoch [45/50] | Train Acc: 0.8075 | Val Acc: 0.6347
Epoch [46/50] | Train Acc: 0.8159 | Val Acc: 0.6076
Epoch [47/50] | Train Acc: 0.8255 | Val Acc: 0.6203
Epoch [48/50] | Train Acc: 0.8647 | Val Acc: 0.6184
Epoch [49/50] | Train Acc: 0.8373 | Val Acc: 0.5696
Epoch [50/50] | Train Acc: 0.8430 | Val Acc: 0.6275